"18","Travis Kelce","TE","KC","17","24","14.7","10","24.8","21.5","6.1","24.9","25.9","BYE","26.9","16.2","27.6","27.6","22.8","22.8","-","20.9","312.8"
"19","Matt Ryan","QB","FA","24.9","28.5","12.4","12.4","7.9","31.6","17.5","18.9","23.4","-","7.3","14.9","12.9","10.3","27.8","19.9","22.7","18.3","293.4"
"20","DeAndre Hopkins","WR","BAL","29.1","20.8","23.7","11.1","25.1","9.3","24.3","-","6","25.7","10.1","10.5","19.2","22.6","30","12.8","7.5","18","287.8"
"21","Calvin Ridley","WR","TEN","33.9","29.9","16.7","0","21.6","18.9","19.9","7.2","-","-","14","17","15.8","26.4","32.3","17.3","10.6","18.8","281.5"
"22","Derek Carr","QB","FA","13.6","21.7","15.4","20.4","25","-","20.3","12.5","14","7.2","22.6","1.6","32.7","25.8","2.1","23.2","22.9","17.6","281.1"
"23","Darren Waller","TE","MIA","10.5","28.5","2.9","15.8","15.8","-","17","7.7","13.2","6.7","21.8","6.3","45","14.5","30","16.2","26.7","17.4","278.6"
"24","Ben Roethlisberger","QB","FA","22.1","19.2","19.2","-","21.4","11","15.6","15.3","25","29.3","17.7","13.5","19.2","15.5","7.7","25.5","-","18.5","277.2"
"25","Justin Jefferson","WR","MIN","4.6","7.4","30.5","14.3","5.3","39.6","BYE","5.6","9.4","21.5","17.6","26","27.3","9.9","18.4","14.5","22.3","17.1","274.2"
"26","DK Metcalf","WR","PIT","19.5","19.2","19","14.6","27.3","-","4.3","40.1","23.8","4.8","13.6","27.7","13","18.1","9.3","11.9","5.1","17","271.3"
"27","Cam Newton","QB","FA","25.7","35.6","12.2","-","-","20.5","2.8","18.4","24.6","16.8","19.2","6","23.6","5.4","12.2","9.8","38.5","18.1","271"
"28","Matthew Stafford","QB","LAR","17.2","17.2","18.5","23.3","-","13.3","18.4","23.4","10.4","23","7.6","17.1","27.1","14.4","15.3","0.7","23.6","16.9","270.6"
"29","Tyler Lockett","WR","TEN","17.2","19.7","37","5.9","8.4","-","53","7.3","8","11.6","21.7","5.3","12.3","10.2","7.4","7.4","33","16.6","265.4"
"30","David Montgomery","RB","DET","8.4","21.7","7.4","10.7","18.9","13.7","11.9","12.5","5.2","-","-","25.3","27.1","24.5","29.2","20.1","28.2","17.7","264.8"
"31","Allen Robinson II","WR","FA","12.3","6.3","28.3","23.1","19","10.3","11","20.7","15.1","10.3","-","27.4","13.5","27.3","12.3","20.3","5.7","16.4","262.9"
"32","Aaron Jones Sr.","RB","MIN","17.6","45.6","16.6","22.1","-","13.1","BYE","-","12.9","14.5","17.1","10","23.8","9.5","24.8","12.8","18.5","18.5","258.9"
"33","Baker Mayfield","QB","TB","10.9","16.3","14.3","15.2","17.6","7.3","30.8","7.8","-","5.4","7.1","18.4","29.5","31","21","8","16.2","16","256.6"
"34","Adam Thielen","WR","MIN","31","6.1","12.3","26.2","29.3","14.1","BYE","5.7","5.8","20.3","32.3","-","21.5","6.9","9.1","23.7","9.7","16.9","254"
"35","Jared Goff","QB","DET","11.5","24","28.2","11.7","25.4","15.9","16.9","12.2","-","10.5","25","5","24.1","15.6","16.3","10.7","-","16.9","253"
"36","Jonathan Taylor","RB","IND","14.9","19","13.2","8.9","15.4","15.5","BYE","5.1","9.4","5.7","15.4","-","22.5","30.5","19.5","19.4","38.4","16.9","252.8"
"37","Teddy Bridgewater","QB","TB","19.4","10.7","14.6","27.2","20.8","11.4","19.2","13","28.3","20","-","14.9","BYE","20.4","16.9","9.6","5.7","16.8","252.2"
"38","Philip Rivers","QB","FA","16.8","11.9","12.7","11.2","7.6","25.7","-","22.3","8.1","16.3","22.4","18.8","19.2","17.8","17","11.8","11.4","15.7","251"
"39","James Robinson","RB","FA","10","21","30.9","14.7","10","15.3","31.7","-","15.9","13.2","11.4","26.9","22.8","12.3","14.3","-","-","17.9","250.4"
"40","Mike Evans","WR","TB","7.2","23.4","14.2","25.2","15.1","2","5.7","16.5","10.4","19.7","15.9","20","BYE","8.6","17","40.1","7.6","15.5","248.6"
"41","A.J. Brown","WR","PHI","8.9","-","-","-","21.2","22.8","27.3","12.4","20.1","3.1","16.2","25.8","10.7","24.2","15.4","8.3","31.1","17.7","247.5"
"42","Keenan Allen","WR","LAC","7.7","16.6","30.2","14.2","10.9","BYE","22.5","21.7","25.3","12.9","34.5","16","9.8","20.2","2.6","-","-","17.5","245.1"
"42","Robert Woods","WR","FA","17.9","11.3","21.4","9.8","17.1","14","5.5","28.4","-","8.6","30.6","15.8","18.5","8.1","21.6","8.9","7.6","15.3","245.1"
"44","Amari Cooper","WR","FA","18.1","16","17.6","33.4","4.1","20.9","15.5","1.5","12.5","-","14.1","23.2","16.3","15.1","2.3","16.1","10.1","14.8","236.8"
"45","JuJu Smith-Schuster","WR","KC","24.9","11.8","16.3","-","6.8","2.6","17.5","13.7","21.3","22.7","5.9","17.7","9.8","17.5","2.5","24.6","18.5","14.6","234.1"
"46","Brandin Cooks","WR","NO","4","14.5","5.3","0","30.1","21.8","13","-","17.3","9.9","12.5","13.5","11.5","-","11.9","27.1","39.6","15.5","232"
"47","Josh Jacobs","RB","GB","35.9","13.5","9.3","10.3","22.5","-","6.1","12.9","13.8","29.6","13.4","5.4","-","10.4","20.4","6.9","20.9","15.4","231.3"
"48","Marvin Jones Jr.","WR","FA","9.5","12.3","8.1","1.9","-","2.8","13","18.9","13.3","23.6","9.1","10.8","25.6","8.8","27.2","4.9","38","14.2","227.8"
"49","Robbie Chosen","WR","WAS","25.4","17.9","10.5","17.9","19.5","11.7","13.4","9.8","15.3","6.1","11.6","19.4","-","17.7","4","16.9","7","14","224.1"
"50","Terry McLaurin","WR","WAS","11.1","25.5","12.6","21.8","5.6","14.4","22","BYE","24.5","17.2","13.4","16.2","3.4","4.4","14.7","-","17","14.9","223.8"
"51","Ezekiel Elliott","RB","FA","27.7","22.2","17.8","20.5","23.5","12","6.1","8.3","8.9","-","19.4","2.9","13.5","7.9","-","17.9","15.1","14.9","223.7"
"52","Diontae Johnson","WR","FA","9.7","23.2","0.9","-","0.8","-","29","1.6","14.1","23.6","23.1","12.6","21.1","8","19.9","21.6","12.6","14.8","221.8"
"53","Kareem Hunt","RB","KC","12.1","24.1","14.4","19.1","18.3","7.7","19.2","9.3","-","16.2","9.1","6.2","8.7","29","5.8","14.2","5.1","13.7","218.5"
"54","CeeDee Lamb","WR","DAL","10.9","17.5","11.6","25.2","20.4","13.4","0.1","8.6","15.1","BYE","16.6","7.1","10.6","8.1","19.5","23.4","9.6","13.6","217.7"
"55","Drew Brees","QB","FA","14.4","15.5","23.5","16.5","22.1","-","23.7","19.6","22.7","6.9","-","-","-","-","20.4","10.1","20","18","215.5"
"56","Chase Claypool","WR","FA","6.7","17.8","3.4","-","42.6","18.1","0.8","13.2","15.3","21.3","15.9","11.2","5.8","4.5","7.8","9.4","21.1","13.4","214.9"
"57","Carson Wentz","QB","MIN","15","14.4","23.5","22.4","19.4","29.4","28.8","10.6","-","8.7","16.4","19.8","5","-","-","-","-","17.8","213.4"
"58","Curtis Samuel","WR","BUF","9.3","5.9","9.2","7.8","11.4","-","17.3","21.4","26.8","4.2","21.4","12.7","-","16","8.8","20.8","19.1","14.1","212.1"
"59","DJ Moore","WR","CHI","9.4","20","8.5","8.9","19.3","14.3","25.3","7.5","3.8","19.6","21.8","10.1","-","-","19.2","8.7","15.1","14.1","211.5"
"60","Cooper Kupp","WR","SEA","8","13","25.7","17.7","11.6","4.1","11.9","22","-","10","25.5","6.1","15.3","14.3","8.9","14.6","-","13.9","208.7"
"61","Nick Chubb","RB","HOU","5.6","26.3","24","4.3","-","-","-","BYE","-","18.6","11.4","26.6","17.6","24.3","14.6","17.6","16.8","17.3","207.7"
"62","Cole Beasley","WR","FA","9.8","12","16","12.2","11.3","14.5","22.2","4.4","6.9","27.9","-","9.3","28","9.1","19.2","4.7","-","13.8","207.5"
"63","Mike Davis","RB","FA","0","15.5","23.1","22.1","29.9","11.5","8.6","8.7","8.7","8.4","15.9","10.9","-","26.3","8.1","8.8","-","13.8","206.5"
"64","Antonio Gibson","RB","NE","6.4","12.2","13","22.8","10.1","9.5","18.8","-","12.5","22.5","17.4","36.6","1.4","-","-","9.9","9.1","14.4","202.2"
"65","Melvin Gordon III","RB","FA","15.6","16.4","7.8","25.8","-","-","12","10.7","3.7","4.6","18.4","3.1","15.2","12.1","24.1","7.9","21","13.2","198.4"
"66","Drew Lock","QB","SEA","13.1","-1.2","-","-","-","5.5","15","20.8","30.2","11","12.1","-","12.9","25.6","11","16.1","24.3","15.1","196.3"
"67","Tee Higgins","WR","CIN","0","6.5","21","13","10.2","18.7","18.8","14.4","BYE","22.5","5.6","15.4","10.6","9.9","6.1","21.9","0","12.2","194.6"
"68","Nyheim Hines","RB","FA","27.3","1.4","10.1","6.2","5","7.7","-","21.2","5.8","28.5","8.3","17.5","12.2","11.5","7.4","10.4","12.7","12.1","193.2"
"69","Tyler Boyd","WR","FA","7.3","20.2","22.5","16.4","8.2","12.9","27.7","19.6","-","10.1","17.5","4.5","14.2","9.3","0","-","2.2","12.8","192.6"
"70","Kenyan Drake","RB","FA","14.5","11.5","8.9","3.5","13.2","28.4","5.1","-","-","9.9","16","24.3","13.8","16","6","13","8.1","12.8","192.2"
"71","Corey Davis","WR","FA","17.1","12.6","11.9","-","-","-","15.5","26.8","0","11.7","16.3","10","35.2","4.4","21","0","8.9","13.7","191.4"
"72","J.D. McKissic","RB","FA","0.9","5.3","8.2","9.6","10.9","14.4","7.1","-","17.2","17.9","9.9","4.7","17.8","10.6","25.7","23.2","8","12","191.4"
"73","Chris Godwin Jr.","WR","TB","13.9","-","17.4","-","-","9.8","23.8","-","7.1","15.2","18.3","17.7","BYE","4.5","13.6","19.4","30.3","15.9","191"
"74","Daniel Jones","QB","IND","19.4","8.7","9.1","11.1","8.2","14.9","21.7","18.2","12.9","22.2","-","10.4","-","3.1","-","14.4","15.9","13.6","190"
"75","D'Andre Swift","RB","CHI","11.3","12.2","2.9","15.2","-","27.3","14.8","5.3","12.7","25.9","BYE","-","-","15","22.2","9","16","14.6","189.8"
"76","William Fuller V","WR","FA","19.2","0","15.4","22.8","15.8","24.3","12.5","-","21","8.8","14","35.1","-","-","-","-","-","17.2","188.9"
"77","Jarvis Landry","WR","FA","11.1","7.6","7.6","15.3","12.8","7","11","9.2","-","5.9","4.6","28.3","20.4","11.7","19.1","-","16.4","12.5","188"
"78","Chris Carson","RB","FA","24.6","19.8","10.6","25","19.9","-","5.1","-","-","-","-","13.9","20","18.8","8.9","10.9","10.3","15.7","187.8"
"79","Ronald Jones II","RB","FA","10.2","10.7","9.3","18.8","15.5","26.1","10.6","6.6","4.8","24.8","2.4","17.3","-","15.4","-","-","13.8","13.3","186.3"
"80","Nelson Agholor","WR","FA","9.3","2.9","5.2","14.4","14.7","-","21.7","0","13.5","1.8","20.8","10.4","7.8","21","8.9","26.5","6.7","11.6","185.6"
"81","Brandon Aiyuk","WR","SF","-","4.1","21.1","13.6","7.4","9.2","17.5","23.1","-","19.7","BYE","-","20.5","21.9","22.3","4.1","-","15.4","184.5"
"82","Marquise Brown","WR","KC","15.1","9.2","3.3","12.6","19.8","9.7","-","7.3","6.8","3.4","0","18.5","14.9","13","15.8","12.5","21.1","11.4","183"
"83","Russell Gage Jr.","WR","SF","20.4","16.6","4.6","4","3.6","10.5","11.4","4.5","3.1","-","12.8","6.4","15.1","18.8","17.8","6.3","25.2","11.3","181.1"
"84","David Johnson","RB","FA","19.9","7","12.6","11.2","12.3","13.9","16.4","-","1.6","-","-","-","10.4","-","24.3","28.9","21","15","179.5"
"85","Joe Burrow","QB","CIN","17.3","24.5","20.4","16.1","5.3","17.7","34.6","18.9","BYE","12.5","11.3","-","-","-","-","-","-","17.9","178.7"
"86","Logan Thomas","TE","FA","13.7","6.6","7.1","1.8","1.4","13.2","16","-","5.8","10.6","2.8","13.4","24.8","10.3","23.1","13.3","12.7","11","176.6"
"87","Robert Tonyan","TE","KC","0","10.5","16","33.8","-","5.5","5.2","12.9","1.5","6.3","15.4","17.7","13.9","14.6","10.8","2.7","9.8","11","176.6"
"88","Clyde Edwards-Helaire","RB","KC","19.8","13","18.4","12.1","11","20.9","13.3","6.1","12.4","BYE","20.7","4.9","-","14.1","9.3","-","-","13.5","176"
"89","T.J. Hockenson","TE","MIN","16.6","10.2","9.3","10.9","-","9.7","16.9","13.5","14.9","3.3","10.8","13.9","15.4","16.3","1.8","6.3","5.5","11","175.3"
"90","Michael Gallup","WR","FA","8","7.8","25.8","4.9","11.3","4.3","0","13.1","6.6","-","4.9","10.1","21.6","4.3","11.6","30.1","8.9","10.8","173.3"
"91","Jamison Crowder","WR","FA","24.5","-","-","17.4","25.6","11.8","-","-","10.6","-","2.6","6.1","21.7","2.7","12.6","29.3","7.1","14.3","172"
"91","Jason Sanders","K","MIA","4","11","7","18","22","6","BYE","4","14","14","10","12","14","10","2","15","9","10.8","172"
"93","Miles Sanders","RB","DAL","-","20.1","14.7","9.6","23.9","12.2","-","-","-","13.5","9.1","6.2","3.1","29.6","10","18.4","-","14.2","170.4"
"94","Mark Andrews","TE","BAL","22.8","3.9","5.2","20.7","17.6","4.1","BYE","6.2","5.2","13.1","20.6","-","-","12.8","17.6","13.6","6.7","12.2","170.1"
"95","J.K. Dobbins","RB","DEN","14.2","7.1","8.4","2.7","8.5","4.9","-","13.1","5.5","2.4","18.5","-","13.1","13.3","15.1","13.7","28","11.2","168.5"
"96","Chase Edmonds","RB","WAS","13.5","4.3","5.4","15","20.2","3.9","21.5","BYE","11.8","10.7","14.9","8.3","6.3","9.3","15.6","2.8","4.5","10.5","168"
"96","Younghoe Koo","K","NYG","9","17","8","-","13","20","2","13","12","-","13","21","12","6","11","2","9","11.2","168"
"98","DeVante Parker","WR","FA","8.7","16.3","11.9","21","13","6.5","-","7.3","12.4","5.1","18.1","19.9","7.5","0","-","-","18.6","11.9","166.3"
"99","Gardner Minshew II","QB","KC","20.8","25.5","10.2","21.9","19.8","19.1","19","-","-","BYE","-","-","-","13.3","15.9","-","-","18.4","165.7"
"100","Austin Ekeler","RB","WAS","9.7","18.8","31.3","2.4","-","-","-","BYE","-","-","-","23.9","10.8","23.6","11.9","15.8","17.1","16.5","165.3"
"101","Emmanuel Sanders","WR","FA","10.5","2.8","15.6","15.3","24.2","-","-","-","13.8","1.5","10.6","1.4","8.9","13.8","11.6","13.5","21.3","11.8","164.8"
"102","James Conner","RB","ARI","3.7","20.1","24.9","-","15.3","17.2","14.1","15","4","6.8","12.9","-","-","1.8","-","17.6","11.2","12.7","164.6"
"103","T.Y. Hilton","WR","FA","9.3","5.8","8.2","5.9","12.9","2.1","-","2.9","-","8","6.6","18.1","25","25.6","11.1","9","13.7","10.9","164.2"
"104","Myles Gaskin","RB","SEA","10.6","14.2","14.5","9.2","20.1","16.6","-","13.3","-","-","-","-","14.1","-","-","33.9","17.7","16.4","164.2"
"105","Sterling Shepard","WR","TB","10.7","5.5","-","-","-","-","17.9","15.4","11.7","10.7","-","13.8","5.2","6.5","8.8","22.7","33.6","13.5","162.5"
"106","Mitchell Trubisky","QB","BUF","24.3","15.2","12.6","-","-","-","-","0.3","-","-","BYE","20.7","13.3","25","14.5","24.6","11.3","16.2","161.7"
"107","Tim Patrick","WR","JAC","6.9","4.4","14.3","23.3","-","14.1","7.4","BYE","12.9","10.1","16.9","0","20.4","12.6","4.4","6.9","6.6","10.7","161.2"
"108","Mike Gesicki","TE","CIN","6","27","8.5","2.5","14.1","0","-","1.8","7.2","6","8.3","11.5","23.8","23.5","-","9.4","9.7","10.6","159.3"
"109","Taysom Hill","TE","NO","5.2","0.8","-0.3","2.4","7.3","BYE","0.6","14.5","10.4","2.5","24.2","18.5","23.6","19.9","6.3","11","11.6","9.9","158.6"
"110","Giovani Bernard","RB","FA","6.8","7.5","8.5","1.9","1.4","11.8","20.6","22.8","-","8.7","9.5","6.9","4.9","3.3","22.7","20.1","0.7","9.9","158.1"
"111","Jerry Jeudy","WR","CLE","9.6","10.2","10.5","14.1","-","5.2","4","11.3","25.5","10.8","6.7","0","1.5","6.2","2.9","12.1","27","9.9","157.6"
"112","Laviska Shenault Jr.","WR","FA","13.7","10.2","8.4","14.1","14.9","4.1","7.4","-","0.9","-","-","6.7","15.8","11.1","9.4","15.8","24.6","11.2","157.1"
"113","Tyler Bass","K","BUF","9","7","5","6","5","6","23","6","15","18","BYE","11","10","8","12","8","8","9.8","157"
"114","Keelan Cole Sr.","WR","FA","15.7","17.8","8.3","8.6","10.7","20.3","2.2","-","1.6","21.7","4.6","7.4","1.7","19.7","4.2","5.6","5.3","9.7","155.4"
"115","Daniel Carlson","K","LV","12","12","8","13","11","BYE","9","10","7","15","7","6","8","9","9","13","6","9.7","155"
"116","Mike Williams","WR","FA","10.9","3.4","2.7","-","27.9","-","1.4","21","13.1","5.8","17.2","5.6","8.3","0","4.2","9.4","22.8","10.2","153.7"
"117","DJ Chark Jr.","WR","FA","11.5","12.4","-","29.5","4.6","11.5","3.6","-","27.6","9.6","8.1","-","6.1","3.6","9.3","16.2","-","11.8","153.6"
"118","Greg Zuerlein","K","FA","5","11","9","2","14","4","4","13","15","-","5","10","5","14","13","13","16","9.6","153"
"119","Darnell Mooney","WR","ATL","6.8","12.6","3.9","9.9","3.5","6.6","7","17.9","9.3","2.3","-","8.4","8.3","10.7","16.5","8.1","20.3","9.5","152.1"
"120","Los Angeles Rams","DST","LAR","4","7","4","11","12","0","15","5","BYE","13","5","15","11","21","2","6","20","9.4","151"
"121","Rodrigo Blankenship","K","FA","8","15","12","14","11","8","-","3","5","11","15","2","7","14","11","6","8","9.4","150"
"122","Noah Fant","TE","CIN","19.1","17.7","9.6","8.5","-","-","6.8","11.7","7.5","4.8","9.5","2.3","9.7","0","20.8","12.5","8.8","10","149.3"
"122","Rob Gronkowski","TE","FA","3.1","0","10.8","3.9","8.2","18.8","17.2","14.1","1.2","13.1","4.5","16.6","-","7.2","5.9","19.8","4.9","9.3","149.3"
"124","Hayden Hurst","TE","FA","6.8","18.2","7.1","9.1","2.8","15.7","12.8","10.4","13.2","-","0","8.8","1.9","1.7","12.1","15.7","12.8","9.3","149.1"
"125","Pittsburgh Steelers","DST","PIT","8","13","7","BYE","8","18","2","18","7","12","17","14","3","6","2","9","4","9.3","148"
"126","Dalton Schultz","TE","HOU","2.1","21.8","8.8","17.2","1.6","7.5","4.2","11.3","8.8","-","12.5","7.4","8.4","6.4","9.4","5.1","14","9.2","146.5"
"127","Christian Kirk","WR","HOU","1","8","-","10.9","12.8","22.6","20.7","BYE","23.3","6.7","9","4.9","1.2","4.4","6.3","14.6","-","10.5","146.4"
"128","Julio Jones","WR","FA","24.7","4.4","-","7.2","-","33.7","17.7","20.7","16.4","-","5.9","-","15.4","-","-","-","-","16.2","146.1"
"129","Hunter Henry","TE","NE","12.3","14.3","10","5.9","12.3","-","5.3","7.3","7.3","13","14.8","13.7","1.5","10.1","17.5","-","-","10.4","145.3"
"130","Sam Darnold","QB","SEA","12.2","11.9","9.7","23.6","-","BYE","2.8","7.4","-","-","-","6.8","21","5.6","14.1","17","12.9","12.1","145"
"130","Indianapolis Colts","DST","IND","4","15","26","7","11","4","BYE","15","5","10","8","-3","12","12","10","0","9","9.1","145"
"130","Justin Tucker","K","FA","9","16","9","8","10","16","-","8","7","5","10","2","10","9","9","9","8","9.1","145"
"130","Ryan Succop","K","FA","5","7","9","8","14","10","9","15","4","17","6","6","-","9","7","5","14","9.1","145"
"134","Andy Dalton","QB","CAR","-","0","-","-","2.4","13","3.6","-","-","-","20.3","13.3","18.6","15.3","17.2","27.6","13.6","13.2","144.9"
"135","Devin Singletary","RB","NYG","10.3","9.6","16.1","18.7","4.3","5.5","6.7","10.2","6.4","2","BYE","11.2","11.3","4.4","17.4","7.2","2.3","9","143.6"
"135","Jimmy Graham","TE","FA","11.5","2.8","24","7.3","12.3","8.4","8.1","3.3","17.5","0","-","6.2","0","12.3","4.5","22.9","2.5","9","143.6"
"137","Jakobi Meyers","WR","LV","0","1.7","0","-","-","BYE","10.2","13.8","28.9","15.9","6.8","10.2","3.5","8.7","16.1","8.5","18.3","10.2","142.5"
"138","Jeff Wilson Jr.","RB","MIA","0","0.3","21.9","2.9","2.7","-","32","-","-","-","-","2","7.9","9.4","12","27.4","23.8","11.9","142.3"
"139","Eric Ebron","TE","FA","2.8","7.3","16.2","-","7.3","2.9","11","14.8","11.2","5.8","13.6","12.4","13.8","7","0","15.7","-","9.5","141.8"
"140","Baltimore Ravens","DST","BAL","15","15","7","6","26","7","BYE","4","14","1","3","8","4","0","10","10","11","8.8","141"
"140","Miami Dolphins","DST","MIA","2","2","12","3","12","15","BYE","23","8","6","5","14","14","10","9","5","1","8.8","141"
"142","Evan Engram","TE","DEN","2.9","12.5","5.2","9.5","9.5","5","10.9","12","15.8","3.5","-","16.9","7.2","3.8","8.6","14","3.7","8.8","141"
"143","Darius Slayton","WR","NYG","28.2","6.3","6.3","7.8","20.9","11.8","4.3","10.6","1.8","14.3","BYE","0","2.4","6.1","11.4","4.6","4.2","8.8","141"
"144","Tua Tagovailoa","QB","MIA","-","-","-","-","-","0.4","BYE","5.7","21.4","14.7","7.3","-","16.1","28","19.7","8.9","18.2","14","140.5"
"145","Jonnu Smith","TE","PIT","13.6","24.4","11.1","BYE","21","2.3","1.9","4.9","11.2","9.5","12","0","-","4.3","10.2","12","1.8","9.3","140.2"
"146","Dak Prescott","QB","DAL","17.6","39.8","29.5","38.3","14.4","-","-","-","-","BYE","-","-","-","-","-","-","-","27.9","139.6"
"147","Cairo Santos","K","CHI","9","5","6","3","9","13","5","14","5","8","BYE","5","7","10","18","12","10","8.7","139"
"148","Jason Myers","K","SEA","9","5","4","9","3","BYE","12","8","12","12","9","12","4","11","10","10","8","8.6","138"
"149","Marquez Valdes-Scantling","WR","SF","19.6","9.4","1.5","8.5","-","6.2","0.9","3.3","19.3","24.9","6.5","0","-0.4","20.5","0","0","17.1","8.6","137.3"
"150","Zach Pascal","WR","FA","3.8","10.9","5.4","8.8","3.5","15.4","-","7.4","10.5","7.3","8.4","3.3","2.1","3.7","24.9","15.4","6.1","8.6","136.9"
"150","Gabe Davis","WR","BUF","3.6","7.6","12.1","9.6","10.8","1.7","2.1","0","17","0","BYE","16.9","15.8","10.9","3.8","6.3","18.7","8.6","136.9"
"152","Wayne Gallman Jr.","RB","FA","2.4","-","3.4","4.5","4.4","0","16.4","13.2","14.7","19","-","18.1","13.5","10.3","2.9","7.3","6.5","9.1","136.6"
"153","Latavius Murray","RB","FA","4.8","5.3","7.5","21.3","7.7","-","6.6","6.1","6.2","5.7","10.5","25.6","3.7","1.7","10.9","12.6","-","9.1","136.2"
"154","Brandon McManus","K","GB","2","8","6","18","BYE","24","5","7","11","8","9","5","6","2","-","14","11","9.1","136"
"155","Wil Lutz","K","DEN","10","6","13","5","15","-","11","14","8","10","6","8","3","3","3","10","10","8.4","135"
"156","Harrison Butker","K","KC","10","13","4","8","6","8","14","5","11","BYE","5","9","17","8","6","7","3","8.4","134"
"157","Greg Ward","WR","FA","8.1","1.5","20.6","7.8","12.6","5.9","15.2","4.2","-","8.9","3.9","1.3","14.7","4","17.5","4.7","2.2","8.3","133.1"
"158","Graham Gano","K","NYG","4","7","13","9","20","8","3","5","13","10","BYE","15","4","1","6","8","7","8.3","133"
"159","Leonard Fournette","RB","FA","2.9","27.6","4.2","-","0","-","15.7","10.1","10.1","5","9.6","5","-","-","21.5","15.6","4.7","10.2","132"
"159","Ka'imi Fairbairn","K","HOU","2","12","3","13","13","6","8","BYE","11","1","10","10","10","1","8","7","17","8.3","132"
"161","Hunter Renfrow","WR","CAR","4.1","6.7","20.4","10.7","5.2","-","8.2","12.6","8","5","5.7","14.3","8.7","6.8","1.4","8.4","5.4","8.2","131.6"
"162","Darrell Henderson Jr.","RB","FA","0.6","20.1","19","4.7","21.8","9.2","9.6","6.8","-","10.3","2.9","1.9","15.4","0.5","1.3","6.2","-","8.7","130.3"
"163","Kendrick Bourne","WR","SF","5.4","10.7","10.3","6.3","11","6.4","0","16.1","-","6.6","BYE","6.4","7.5","9.2","18.6","2.6","12.6","8.6","129.7"
"164","Joey Slye","K","TEN","12","5","15","7","11","11","7","5","8","6","10","10","-","9","10","2","1","8.1","129"
"165","Nick Mullens","QB","JAC","-","1.6","17.7","8","-","-","-","17.5","12.6","12.2","-","9.1","22.6","13.4","13.5","-","-","12.8","128.3"
